Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
04/09/2021,Chhattisgarh,13738816,2108711,2929,10310505,3428311,6932922,6804241,1653,1604397,12126918,7501,665,5857983,5080336,2800497,,,,,,
05/09/2021,Chhattisgarh,13793480,1615098,1734,10342406,3451074,6959065,6832754,1661,1616045,12169934,7501,666,5897902,5091526,2804052,,,,,,
06/09/2021,Chhattisgarh,13884497,1891756,2754,10395375,3489122,7004575,6878251,1671,1630306,12246635,7556,667,5963847,5110531,2810119,,,,,,
07/09/2021,Chhattisgarh,13971845,1868286,2620,10448515,3523330,7049315,6920844,1686,1640837,12323418,7590,668,6027211,5128372,2816262,,,,,,
08/09/2021,Chhattisgarh,14109243,2223524,3286,10532493,3576750,7123479,6984063,1701,1649066,12452546,7631,668,6121559,5160308,2827376,,,,,,
09/09/2021,Chhattisgarh,14145988,1562308,1710,10552913,3593075,7145350,6998935,1703,1653088,12485234,7666,668,6148076,5167804,2830108,,,,,,
10/09/2021,Chhattisgarh,14191598,1858146,2352,10578117,3613481,7171353,7018537,1708,1657130,12526765,7703,667,6180980,5177137,2833481,,,,,,
11/09/2021,Chhattisgarh,14305284,2086574,3077,10647420,3657864,7231336,7072224,1724,1664510,12633018,7756,670,6264708,5199502,2841074,,,,,,
12/09/2021,Chhattisgarh,14377048,1647916,2109,10692420,3684628,7268326,7106985,1737,1667186,12702106,7756,0,6315947,5214755,2846346,,,,,,
13/09/2021,Chhattisgarh,14519298,1784580,3057,10780229,3739069,7339361,7178180,1757,1672132,12839369,7797,670,6419472,5243946,2855880,,,,,,
14/09/2021,Chhattisgarh,14597896,1468238,2174,10825590,3772306,7378584,7217546,1766,1676174,12913891,7831,670,6478449,5258883,2860564,,,,,,
15/09/2021,Chhattisgarh,14715923,1535486,2524,10891691,3824232,7436161,7277979,1783,1681605,13026481,7837,670,6565377,5282360,2868186,,,,,,
16/09/2021,Chhattisgarh,14937934,1945778,3430,11021736,3916198,7543505,7392621,1808,1698226,13231842,7866,671,6730428,5324666,2882840,,,,,,
17/09/2021,Chhattisgarh,15186072,1781788,3009,11161873,4024199,7666201,7518029,1842,1719914,13458223,7935,672,6919646,5368117,2898309,,,,,,
18/09/2021,Chhattisgarh,15387177,2194547,3726,11275638,4111539,7761163,7624139,1875,1737555,13641645,7977,676,7069022,5406567,2911588,,,,,,
19/09/2021,Chhattisgarh,15564556,1630777,2688,11378064,4186492,7844405,7718257,1894,1752045,13804534,7977,677,7200607,5440317,2923632,,,,,,
20/09/2021,Chhattisgarh,15950760,2658862,4309,11581135,4369625,8027531,7921279,1950,1782722,14159988,8050,677,7485698,5514830,2950232,,,,,,
21/09/2021,Chhattisgarh,16205646,2209753,3345,11714633,4491013,8150119,8053546,1981,1803259,14394278,8109,679,7675270,5562887,2967489,,,,,,
22/09/2021,Chhattisgarh,16472245,2460486,3790,11850532,4621713,8279757,8190474,2014,1823217,14640864,8164,679,7872792,5613284,2986169,,,,,,
23/09/2021,Chhattisgarh,16755256,2564541,3823,11997996,4757260,8417840,8335370,2046,1836896,14910154,8206,686,8078934,5668990,3007332,,,,,,
24/09/2021,Chhattisgarh,16985131,2325344,3459,12121899,4863232,8530233,8452819,2079,1850076,15126810,8245,686,8246722,5713824,3024585,,,,,,
25/09/2021,Chhattisgarh,17216795,2536114,3763,12238174,4978621,8643205,8571484,2106,1878140,15330331,8324,689,8416635,5758576,3041584,,,,,,
26/09/2021,Chhattisgarh,17302668,1706376,2388,12277387,5025281,8684713,8615829,2126,1891627,15402717,8324,689,8480168,5774493,3048007,,,,,,
27/09/2021,Chhattisgarh,17428594,2105736,3047,12340695,5087899,8746872,8679585,2137,1911917,15508307,8370,689,8574015,5797696,3056883,,,,,,
28/09/2021,Chhattisgarh,17544423,1901025,2746,12397213,5147210,8804059,8738206,2158,1947529,15588491,8403,690,8661999,5818076,3064348,,,,,,
29/09/2021,Chhattisgarh,17640976,1741921,2428,12445158,5195818,8850958,8787849,2169,1985980,15646558,8438,691,8734273,5835739,3070964,,,,,,
30/09/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
01/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
02/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
03/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
04/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
05/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
06/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
07/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
08/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
09/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
10/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
11/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
12/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
13/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
14/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
15/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
16/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
17/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
18/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
19/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
20/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
21/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
22/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
23/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
24/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
25/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
26/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
27/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
28/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
29/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
30/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
31/10/2021,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,
16/01/2021,Dadra and Nagar Haveli and Daman and Diu,23,4,2,23,0,,,,0,23,,,,,,,,,13,10,0
17/01/2021,Dadra and Nagar Haveli and Daman and Diu,23,4,2,23,0,,,,0,23,,,,,,,,,13,10,0
18/01/2021,Dadra and Nagar Haveli and Daman and Diu,15,6,4,15,0,,,,0,15,,,,,,,,,9,6,0
19/01/2021,Dadra and Nagar Haveli and Daman and Diu,31,6,4,31,0,,,,0,31,,,,,,,,,15,16,0
20/01/2021,Dadra and Nagar Haveli and Daman and Diu,31,8,5,31,0,,,,0,31,,,,,,,,,15,16,0
21/01/2021,Dadra and Nagar Haveli and Daman and Diu,78,10,7,78,0,,,,0,78,,,,,,,,,26,52,0
22/01/2021,Dadra and Nagar Haveli and Daman and Diu,113,12,9,113,0,,,,0,113,,,,,,,,,45,68,0
23/01/2021,Dadra and Nagar Haveli and Daman and Diu,280,13,10,280,0,,,,0,280,,,,,,,,,108,172,0
24/01/2021,Dadra and Nagar Haveli and Daman and Diu,312,13,10,312,0,,,,0,312,,,,,,,,,124,188,0
25/01/2021,Dadra and Nagar Haveli and Daman and Diu,362,13,10,362,0,,,,0,362,,,,,,,,,142,220,0
26/01/2021,Dadra and Nagar Haveli and Daman and Diu,362,13,10,362,0,,,,0,362,,,,,,,,,142,220,0
27/01/2021,Dadra and Nagar Haveli and Daman and Diu,404,22,16,404,0,,,,0,404,,,,,,,,,154,250,0
28/01/2021,Dadra and Nagar Haveli and Daman and Diu,559,26,18,559,0,,,,0,559,,,,,,,,,245,314,0
29/01/2021,Dadra and Nagar Haveli and Daman and Diu,706,28,18,706,0,,,,0,706,,,,,,,,,311,395,0
30/01/2021,Dadra and Nagar Haveli and Daman and Diu,852,29,19,852,0,,,,0,852,,,,,,,,,381,471,0
31/01/2021,Dadra and Nagar Haveli and Daman and Diu,856,32,19,856,0,,,,0,856,,,,,,,,,385,471,0
01/02/2021,Dadra and Nagar Haveli and Daman and Diu,1038,35,19,1038,0,,,,0,1038,,,,,,,,,476,562,0
02/02/2021,Dadra and Nagar Haveli and Daman and Diu,1181,49,28,1181,0,,,,0,1181,,,,,,,,,565,616,0
03/02/2021,Dadra and Nagar Haveli and Daman and Diu,1421,64,35,1421,0,,,,0,1421,,,,,,,,,651,770,0
04/02/2021,Dadra and Nagar Haveli and Daman and Diu,1681,77,35,1681,0,,,,0,1681,,,,,,,,,746,935,0
05/02/2021,Dadra and Nagar Haveli and Daman and Diu,1931,97,35,1931,0,,,,0,1931,,,,,,,,,834,1097,0
06/02/2021,Dadra and Nagar Haveli and Daman and Diu,2255,114,35,2255,0,,,,0,2255,,,,,,,,,914,1341,0
07/02/2021,Dadra and Nagar Haveli and Daman and Diu,2255,115,35,2255,0,,,,0,2255,,,,,,,,,914,1341,0
08/02/2021,Dadra and Nagar Haveli and Daman and Diu,2329,121,37,2329,0,,,,0,2329,,,,,,,,,972,1357,0
09/02/2021,Dadra and Nagar Haveli and Daman and Diu,2567,152,49,2567,0,,,,0,2567,,,,,,,,,1160,1407,0
10/02/2021,Dadra and Nagar Haveli and Daman and Diu,3309,176,49,3309,0,,,,0,3309,,,,,,,,,1509,1800,0
11/02/2021,Dadra and Nagar Haveli and Daman and Diu,3672,200,49,3672,0,,,,0,3672,,,,,,,,,1691,1981,0
12/02/2021,Dadra and Nagar Haveli and Daman and Diu,3931,222,49,3931,0,,,,0,3931,,,,,,,,,1817,2114,0
13/02/2021,Dadra and Nagar Haveli and Daman and Diu,4131,249,49,4060,71,,,,0,4060,,,,,,,,,1878,2182,0
14/02/2021,Dadra and Nagar Haveli and Daman and Diu,4131,249,49,4060,71,,,,0,4060,,,,,,,,,1878,2182,0
15/02/2021,Dadra and Nagar Haveli and Daman and Diu,4425,269,49,4347,78,,,,0,4347,,,,,,,,,2042,2305,0
16/02/2021,Dadra and Nagar Haveli and Daman and Diu,4754,303,49,4590,164,,,,0,4590,,,,,,,,,2161,2429,0
17/02/2021,Dadra and Nagar Haveli and Daman and Diu,5483,334,50,5295,188,,,,0,5295,,,,,,,,,2615,2680,0
18/02/2021,Dadra and Nagar Haveli and Daman and Diu,5776,356,50,5569,207,,,,0,5569,,,,,,,,,2865,2704,0
19/02/2021,Dadra and Nagar Haveli and Daman and Diu,6504,378,50,6174,330,,,,0,6174,,,,,,,,,3215,2959,0
20/02/2021,Dadra and Nagar Haveli and Daman and Diu,6841,406,50,6376,465,,,,0,6376,,,,,,,,,3353,3023,0
21/02/2021,Dadra and Nagar Haveli and Daman and Diu,6841,406,50,6376,465,,,,0,6376,,,,,,,,,3353,3023,0
22/02/2021,Dadra and Nagar Haveli and Daman and Diu,7003,434,50,6488,515,,,,0,6488,,,,,,,,,3426,3062,0
23/02/2021,Dadra and Nagar Haveli and Daman and Diu,7061,436,50,6539,522,,,,0,6539,,,,,,,,,3461,3078,0
24/02/2021,Dadra and Nagar Haveli and Daman and Diu,7135,469,50,6609,526,,,,0,6609,,,,,,,,,3503,3106,0
25/02/2021,Dadra and Nagar Haveli and Daman and Diu,7675,497,51,7077,598,,,,0,7077,,,,,,,,,3810,3267,0
26/02/2021,Dadra and Nagar Haveli and Daman and Diu,7978,497,51,7304,674,,,,0,7304,,,,,,,,,3984,3320,0
27/02/2021,Dadra and Nagar Haveli and Daman and Diu,7978,497,51,7304,674,,,,0,7304,,,,,,,,,3984,3320,0
28/02/2021,Dadra and Nagar Haveli and Daman and Diu,7978,543,58,7304,674,,,,0,7304,,,,,,,,,3984,3320,0
01/03/2021,Dadra and Nagar Haveli and Daman and Diu,7978,768,86,7304,674,,,,0,7304,,,,,,,,,3984,3320,0
02/03/2021,Dadra and Nagar Haveli and Daman and Diu,9433,807,86,8469,964,,,,0,8469,,,,,,,,,4596,3873,0
03/03/2021,Dadra and Nagar Haveli and Daman and Diu,7675,497,51,7077,598,,,,0,7077,,,,,,,,,3810,3267,0
04/03/2021,Dadra and Nagar Haveli and Daman and Diu,7978,497,51,7304,674,,,,0,7304,,,,,,,,,3984,3320,0
05/03/2021,Dadra and Nagar Haveli and Daman and Diu,7978,497,51,7304,674,,,,0,7304,,,,,,,,,3984,3320,0
06/03/2021,Dadra and Nagar Haveli and Daman and Diu,13130,1804,90,11246,1884,,,,0,11246,,,,,,,,,5914,5332,0
07/03/2021,Dadra and Nagar Haveli and Daman and Diu,13138,1808,90,11254,1884,,,,0,11254,,,,,,,,,5922,5332,0
08/03/2021,Dadra and Nagar Haveli and Daman and Diu,13858,1816,91,11841,2017,,,,0,11841,,,,,,,,,6224,5617,0
09/03/2021,Dadra and Nagar Haveli and Daman and Diu,12668,3200,31,10402,2266,,,,0,12668,,,,,,,,,6637,6031,0
10/03/2021,Dadra and Nagar Haveli and Daman and Diu,13669,2000,20,11023,2646,,,,0,13669,,,,,,,,,7176,6493,0
11/03/2021,Dadra and Nagar Haveli and Daman and Diu,13669,0,0,11023,2646,,,,0,13669,,,,,,,,,7176,6493,0
12/03/2021,Dadra and Nagar Haveli and Daman and Diu,14781,4300,43,11749,3032,,,,0,14781,,,,,,,,,7738,7043,0
13/03/2021,Dadra and Nagar Haveli and Daman and Diu,15595,4150,41,12345,3250,,,,0,15595,,,,,,,,,8102,7493,0
14/03/2021,Dadra and Nagar Haveli and Daman and Diu,15595,0,0,12345,3250,,,,0,15595,,,,,,,,,8102,7493,0
15/03/2021,Dadra and Nagar Haveli and Daman and Diu,16581,3800,38,13044,3537,,,,0,16581,,,,,,,,,8554,8027,0
16/03/2021,Dadra and Nagar Haveli and Daman and Diu,19497,4500,45,15828,3669,,,,0,19497,,83,,,,6074,4164,5579,8135,7693,0
17/03/2021,Dadra and Nagar Haveli and Daman and Diu,21037,2600,26,17143,3894,,,,0,21037,,83,,,,6087,4499,6546,8851,8292,0
18/03/2021,Dadra and Nagar Haveli and Daman and Diu,21695,3800,38,17573,4122,,,,0,21695,,83,,,,6122,4629,6811,9063,8510,0
19/03/2021,Dadra and Nagar Haveli and Daman and Diu,22889,4900,49,18481,4408,,,,0,22889,,83,,,,6147,4877,7446,9526,8955,0
20/03/2021,Dadra and Nagar Haveli and Daman and Diu,23782,1600,16,19170,4612,,,,0,23782,,83,,,,6338,5081,7740,9898,9272,0
21/03/2021,Dadra and Nagar Haveli and Daman and Diu,23840,200,2,19218,4622,,,,0,23840,,83,,,,6359,5095,7753,9921,9297,0
22/03/2021,Dadra and Nagar Haveli and Daman and Diu,24700,5300,53,19992,4708,,,,0,24700,,83,,,,6390,5332,8259,10328,9664,0
23/03/2021,Dadra and Nagar Haveli and Daman and Diu,26241,2500,25,21322,4919,,,,0,26241,,83,,,,6457,5774,9080,11008,10314,0
24/03/2021,Dadra and Nagar Haveli and Daman and Diu,26823,4200,42,21779,5044,,,,0,26823,,83,,,,6490,5955,9323,11274,10505,0
25/03/2021,Dadra and Nagar Haveli and Daman and Diu,27819,4800,48,22593,5226,,,,0,27819,,83,,,,6523,6328,9731,11715,10878,0
26/03/2021,Dadra and Nagar Haveli and Daman and Diu,28419,1800,18,23111,5308,,,,0,28419,,83,,,,6590,6610,9900,12018,11093,0
27/03/2021,Dadra and Nagar Haveli and Daman and Diu,28447,4000,40,23138,5309,,,,0,28447,,83,,,,6590,6629,9908,12031,11107,0
28/03/2021,Dadra and Nagar Haveli and Daman and Diu,28457,3600,33,23148,5309,,,,0,28457,,83,,,,6590,6638,9909,12038,11110,0
29/03/2021,Dadra and Nagar Haveli and Daman and Diu,29349,5800,54,23794,5555,,,,0,29349,,83,,,,6684,6899,10200,12315,11479,0
30/03/2021,Dadra and Nagar Haveli and Daman and Diu,30198,5100,49,24471,5727,,,,0,30198,,83,,,,6807,7177,10476,12683,11788,0
31/03/2021,Dadra and Nagar Haveli and Daman and Diu,32990,6250,57,27071,5919,,,,0,32990,,83,,,,6937,9254,10869,14326,12745,0
01/04/2021,Dadra and Nagar Haveli and Daman and Diu,37137,4450,39,30937,6200,,,,0,37137,,84,,,,7084,12431,11412,16908,14029,0
02/04/2021,Dadra and Nagar Haveli and Daman and Diu,40942,6900,52,34424,6518,,,,0,40942,,85,,,,7222,15212,11980,19261,15163,0
03/04/2021,Dadra and Nagar Haveli and Daman and Diu,44217,6850,62,37495,6722,,,,0,44217,,85,,,,7326,17733,12426,21173,16322,0
04/04/2021,Dadra and Nagar Haveli and Daman and Diu,48053,7900,70,40921,7132,,,,0,48053,,85,,,,7334,20561,13016,23368,17553,0
05/04/2021,Dadra and Nagar Haveli and Daman and Diu,50515,7300,69,43184,7331,,,,0,50515,,85,,,,7338,22470,13366,24851,18333,0
06/04/2021,Dadra and Nagar Haveli and Daman and Diu,56029,6950,67,48313,7716,,,,0,56029,,85,,,,7342,26855,14106,28194,20119,0
07/04/2021,Dadra and Nagar Haveli and Daman and Diu,60292,7750,70,52156,8136,,,,0,60292,,85,,,,7358,30038,14750,30681,21475,0
08/04/2021,Dadra and Nagar Haveli and Daman and Diu,64160,6950,69,55718,8442,,,,0,64160,,85,,,,7409,32931,15368,33023,22695,0
09/04/2021,Dadra and Nagar Haveli and Daman and Diu,67908,7100,71,59130,8778,,,,0,67908,,85,,,,7504,35676,15940,34983,24146,1
10/04/2021,Dadra and Nagar Haveli and Daman and Diu,70523,7350,73,61498,9025,,,,0,70523,,85,,,,7516,37444,16528,36272,25224,2
11/04/2021,Dadra and Nagar Haveli and Daman and Diu,74110,7600,76,64703,9407,,,,0,74110,,85,,,,7894,39742,17057,38111,26590,2
12/04/2021,Dadra and Nagar Haveli and Daman and Diu,76064,7300,73,66367,9697,,,,0,76064,,85,,,,7970,40986,17401,39159,27206,2
13/04/2021,Dadra and Nagar Haveli and Daman and Diu,77860,6900,69,67859,10001,,,,0,77860,,85,,,,8020,42129,17700,40078,27778,3
14/04/2021,Dadra and Nagar Haveli and Daman and Diu,79439,7200,70,69063,10376,,,,0,79439,,85,,,,8188,42988,17877,40813,28247,3
15/04/2021,Dadra and Nagar Haveli and Daman and Diu,81476,6600,66,70628,10848,,,,0,81476,,85,,,,8532,44001,18085,41857,28768,3
16/04/2021,Dadra and Nagar Haveli and Daman and Diu,83143,6400,63,71964,11179,,,,0,83143,,85,,,,8819,44926,18209,42794,29167,3
17/04/2021,Dadra and Nagar Haveli and Daman and Diu,83679,6600,66,72365,11314,,,,0,83679,,85,,,,8859,45218,18278,43073,29289,3
18/04/2021,Dadra and Nagar Haveli and Daman and Diu,84945,7000,70,73240,11705,,,,0,84945,,85,,,,8998,45829,18403,43691,29546,3
19/04/2021,Dadra and Nagar Haveli and Daman and Diu,86395,6600,66,74293,12102,,,,0,86395,,85,,,,9441,46321,18521,44279,30011,3
20/04/2021,Dadra and Nagar Haveli and Daman and Diu,87079,5900,59,74768,12311,,,,0,87079,,85,,,,9507,46682,18569,44608,30157,3
21/04/2021,Dadra and Nagar Haveli and Daman and Diu,88091,6700,67,75414,12677,,,,0,88091,,85,,,,9600,47110,18694,44982,30429,3
22/04/2021,Dadra and Nagar Haveli and Daman and Diu,89186,6000,60,76124,13062,,,,0,89186,,85,,,,9756,47553,18804,45412,30709,3
23/04/2021,Dadra and Nagar Haveli and Daman and Diu,90101,5400,54,76716,13385,,,,0,90101,,85,,,,9866,47974,18865,45761,30952,3
24/04/2021,Dadra and Nagar Haveli and Daman and Diu,90450,5300,53,76905,13545,,,,0,90450,,85,,,,9887,48106,18901,45864,31038,3
25/04/2021,Dadra and Nagar Haveli and Daman and Diu,91408,6550,65,77374,14034,,,,0,91408,,85,,,,9953,48427,18983,46148,31223,3
26/04/2021,Dadra and Nagar Haveli and Daman and Diu,92300,6400,63,77814,14486,,,,0,92300,,85,,,,12030,46694,19079,46398,31413,3
27/04/2021,Dadra and Nagar Haveli and Daman and Diu,93189,5400,54,78216,14973,,,,0,93189,,85,,,,12114,46935,19156,46624,31589,3
28/04/2021,Dadra and Nagar Haveli and Daman and Diu,94148,6200,62,78680,15468,,,,0,94148,,85,,,,12219,47201,19251,46889,31788,3
29/04/2021,Dadra and Nagar Haveli and Daman and Diu,94676,7850,70,78893,15783,,,,0,94676,,85,,,,12259,47323,19301,47034,31856,3
30/04/2021,Dadra and Nagar Haveli and Daman and Diu,94676,7850,70,78893,15783,,,,0,94676,,85,,,,12259,47323,19301,47034,31856,3
01/05/2021,Dadra and Nagar Haveli and Daman and Diu,96320,8600,70,79753,16567,,,,0,96320,,85,,,,12550,47784,19407,47553,32197,3
02/05/2021,Dadra and Nagar Haveli and Daman and Diu,96619,6350,57,79890,16729,,,,0,96619,,85,,,,12508,47941,19433,47622,32265,3
03/05/2021,Dadra and Nagar Haveli and Daman and Diu,97465,7600,67,80227,17238,,,,0,97465,,85,,,,12629,48117,19473,47842,32382,3
04/05/2021,Dadra and Nagar Haveli and Daman and Diu,98306,7000,67,80554,17752,,,,0,98306,,85,,,,12770,48258,19518,48056,32495,3
05/05/2021,Dadra and Nagar Haveli and Daman and Diu,99304,7350,69,80984,18320,,,,0,99304,,85,,,,12925,48465,19586,48338,32643,3
06/05/2021,Dadra and Nagar Haveli and Daman and Diu,100560,6800,63,81425,19135,,,,0,100560,,85,,,,13100,48670,19646,48626,32795,4
07/05/2021,Dadra and Nagar Haveli and Daman and Diu,102229,6900,69,82133,20096,,,,0,102229,,85,,,,13361,49017,19746,49025,33104,4
08/05/2021,Dadra and Nagar Haveli and Daman and Diu,103338,7100,70,82566,20772,,,,0,103338,,85,,,,13503,49236,19818,49274,33288,4
09/05/2021,Dadra and Nagar Haveli and Daman and Diu,103786,7150,71,82726,21060,,,,0,103786,,85,,,,13546,49323,19847,49357,33365,4
10/05/2021,Dadra and Nagar Haveli and Daman and Diu,104954,6700,66,83125,21829,,,,0,104954,,85,,,,13671,49527,19916,49588,33533,4
11/05/2021,Dadra and Nagar Haveli and Daman and Diu,105912,6400,63,83422,22490,,,,0,105912,,85,,,,13771,49680,19959,49769,33649,4
12/05/2021,Dadra and Nagar Haveli and Daman and Diu,106625,6900,69,83791,22834,,,,0,106625,,85,,,,13878,49878,20023,49997,33790,4
13/05/2021,Dadra and Nagar Haveli and Daman and Diu,109633,8700,83,85968,23665,,,,0,109633,,85,,,,15740,50138,20077,51468,34496,4
14/05/2021,Dadra and Nagar Haveli and Daman and Diu,113326,9950,94,88556,24770,,,,0,113326,,85,,,,18047,50359,20136,53215,35336,5
15/05/2021,Dadra and Nagar Haveli and Daman and Diu,117518,9650,91,91647,25871,,,,0,117518,,85,,,,20819,50633,20180,55230,36412,5
16/05/2021,Dadra and Nagar Haveli and Daman and Diu,120646,5576,46,94759,25887,,,,0,120646,,85,,,,23749,50786,20209,57113,37641,5
17/05/2021,Dadra and Nagar Haveli and Daman and Diu,123420,6595,47,97527,25893,,,,0,123420,,85,,,,26348,50932,20229,58815,38705,7
18/05/2021,Dadra and Nagar Haveli and Daman and Diu,123865,6000,43,97967,25898,,,,0,123865,,85,,,,26772,50945,20232,59110,38850,7
19/05/2021,Dadra and Nagar Haveli and Daman and Diu,126803,6600,39,100902,25901,,,,0,126803,,85,,,,,,,61010,39884,8
20/05/2021,Dadra and Nagar Haveli and Daman and Diu,133618,10451,46,107711,25907,,,,0,133618,,85,,,,36282,51132,20266,65253,42447,11
21/05/2021,Dadra and Nagar Haveli and Daman and Diu,140028,11650,48,114121,25907,,,,0,140028,,85,,,,,,,69428,44681,12
22/05/2021,Dadra and Nagar Haveli and Daman and Diu,146279,12515,50,120370,25909,,,,0,146279,0,85,,,,48581,51435,20312,73425,46932,13
23/05/2021,Dadra and Nagar Haveli and Daman and Diu,150932,11026,55,125022,25910,,,,0,150932,0,85,,,,53111,51548,20321,76439,48569,14
24/05/2021,Dadra and Nagar Haveli and Daman and Diu,156860,10115,38,130945,25915,,,,0,156860,0,85,,,,58787,51755,20356,80435,50496,14
25/05/2021,Dadra and Nagar Haveli and Daman and Diu,162836,11346,46,136916,25920,,,,0,162836,0,85,,,,64541,51947,20380,84502,52396,18
26/05/2021,Dadra and Nagar Haveli and Daman and Diu,168731,12140,49,142805,25926,,,,0,168731,0,85,,,,70187,52154,20410,88489,54297,19
27/05/2021,Dadra and Nagar Haveli and Daman and Diu,174518,12550,54,148574,25944,,,,0,174518,0,86,,,,75619,52453,20446,92570,55984,20
28/05/2021,Dadra and Nagar Haveli and Daman and Diu,180694,12695,53,154743,25951,,,,0,180694,0,86,,,,81367,52832,20483,97003,57718,22
29/05/2021,Dadra and Nagar Haveli and Daman and Diu,186645,14931,70,160687,25958,,,,0,186645,0,86,,,,86902,53188,20532,101326,59336,25
30/05/2021,Dadra and Nagar Haveli and Daman and Diu,189815,10895,63,163856,25959,,,,0,189815,0,86,,,,89891,53349,20549,103366,60464,26
31/05/2021,Dadra and Nagar Haveli and Daman and Diu,196079,15320,66,170105,25974,,,,0,196079,0,87,,,,95810,53646,20580,107652,62425,28
01/06/2021,Dadra and Nagar Haveli and Daman and Diu,202000,15070,67,176010,25990,,,,0,202000,0,87,,,,101347,53971,20617,111720,64260,30
02/06/2021,Dadra and Nagar Haveli and Daman and Diu,207670,14695,64,181665,26005,,,,0,207670,0,87,,,,106625,54296,20660,115547,66086,32
03/06/2021,Dadra and Nagar Haveli and Daman and Diu,211798,11380,64,185784,26014,,,,0,211798,0,87,,,,110451,54548,20697,118375,67377,32
04/06/2021,Dadra and Nagar Haveli and Daman and Diu,215802,10712,64,189765,26037,,,,0,215802,0,87,,,,114126,54808,20742,121264,68467,34
05/06/2021,Dadra and Nagar Haveli and Daman and Diu,223040,13592,64,196978,26062,,,,0,223040,0,87,,,,120965,55118,20796,126248,70695,35
06/06/2021,Dadra and Nagar Haveli and Daman and Diu,223524,4090,35,197457,26067,,,,0,223524,0,87,,,,121339,55214,20804,126481,70941,35
07/06/2021,Dadra and Nagar Haveli and Daman and Diu,229256,14890,72,203171,26085,,,,0,229256,0,87,,,,126645,55570,20851,130290,72845,36
08/06/2021,Dadra and Nagar Haveli and Daman and Diu,235270,15700,68,209124,26146,,,,0,235270,0,87,,,,132081,56003,20930,134360,74726,38
09/06/2021,Dadra and Nagar Haveli and Daman and Diu,240179,14190,61,214014,26165,,,,0,240179,0,87,,,,136562,56365,20968,137845,76129,40
10/06/2021,Dadra and Nagar Haveli and Daman and Diu,245100,17855,74,218904,26196,,,,0,245100,0,87,,,,141038,56715,21024,141277,77585,42
11/06/2021,Dadra and Nagar Haveli and Daman and Diu,254764,23350,81,228473,26291,,,,0,254764,0,87,,,,150008,57213,21113,148138,80292,43
12/06/2021,Dadra and Nagar Haveli and Daman and Diu,266651,23335,85,240306,26345,,,,0,266651,0,87,,,,161023,57903,21225,156408,83855,43
13/06/2021,Dadra and Nagar Haveli and Daman and Diu,266969,2001,9,240620,26349,,,,0,266969,0,87,,,,161234,57987,21244,156567,84010,43
14/06/2021,Dadra and Nagar Haveli and Daman and Diu,272199,14508,62,245784,26415,,,,0,272199,0,87,,,,165785,58516,21326,160003,85737,44
